,Ovary-AdenoCA,CNS-PiloAstro,Liver-HCC,Panc-Endocrine,Kidney-RCC,Prost-AdenoCA,Thy-AdenoCA,ColoRect-AdenoCA,Lymph-BNHL,Uterus-AdenoCA,Breast-AdenoCA,Lung-AdenoCA,Panc-AdenoCA,Eso-AdenoCA,Head-SCC,CNS-Medullo,CNS-GBM,Skin-Melanoma,Lymph-CLL,Kidney-ChRCC,Stomach-AdenoCA,Lung-SCC,Bone-Osteosarc,Myeloid-MPN
Bin_1150,0.02857142857142857,0.02,0.0,0.3105022831050228,0.02702702702702703,0.021505376344086023,0.5,0.0,0.09448818897637795,0.05405405405405406,0.3313953488372093,0.0,0.09302325581395349,0.024096385542168676,0.2727272727272727,0.25,0.18947368421052632,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0
Bin_1151,0.014285714285714285,0.0,0.0,0.136986301369863,0.0,0.03225806451612903,0.3888888888888889,0.0,0.023622047244094488,0.009009009009009009,0.06395348837209303,0.0,0.023255813953488372,0.012048192771084338,0.2727272727272727,0.041666666666666664,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1152,0.18571428571428572,0.0,0.0,0.136986301369863,0.0,0.03225806451612903,0.1111111111111111,0.0,0.01968503937007874,0.036036036036036036,0.3372093023255814,0.0,0.09302325581395349,0.0,0.36363636363636365,0.125,0.021052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1153,0.1,0.04,0.05454545454545454,0.136986301369863,0.013513513513513514,0.021505376344086023,0.3333333333333333,0.0,0.1220472440944882,0.036036036036036036,0.4186046511627907,0.0,0.12790697674418605,0.012048192771084338,0.18181818181818182,0.16666666666666666,0.17894736842105263,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1154,0.14285714285714285,0.02,0.01818181818181818,0.0365296803652968,0.0,0.010752688172043012,0.2222222222222222,0.0,0.03543307086614173,0.036036036036036036,0.5872093023255814,0.0,0.11627906976744186,0.0,0.09090909090909091,0.125,0.17894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1155,0.3,0.2,0.09090909090909091,0.0821917808219178,0.02702702702702703,0.010752688172043012,0.3888888888888889,0.0,0.20866141732283464,0.05405405405405406,0.6976744186046512,0.0,0.13953488372093023,0.012048192771084338,0.2727272727272727,0.4583333333333333,0.17894736842105263,0.02127659574468085,0.0,0.0,0.0,0.0,0.024096385542168676,0.0
Bin_1156,0.0,0.0,0.03636363636363636,0.091324200913242,0.02702702702702703,0.021505376344086023,0.5,0.0,0.2677165354330709,0.036036036036036036,0.3081395348837209,0.0,0.10465116279069768,0.30120481927710846,0.0,0.4166666666666667,0.43157894736842106,0.02127659574468085,0.0,0.0,0.0,0.0,0.060240963855421686,0.0
Bin_1157,0.15714285714285714,0.1,0.03636363636363636,0.0730593607305936,0.0,0.010752688172043012,0.2222222222222222,0.0,0.2047244094488189,0.036036036036036036,0.20348837209302326,0.0,0.06976744186046512,0.03614457831325301,0.0,0.375,0.1368421052631579,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1158,0.0,0.06,0.0,0.0228310502283105,0.013513513513513514,0.043010752688172046,0.4444444444444444,0.0,0.011811023622047244,0.08108108108108109,0.4418604651162791,0.0,0.12790697674418605,0.0963855421686747,0.2727272727272727,0.5833333333333334,0.4421052631578947,0.0425531914893617,0.0,0.0,0.0,0.0,0.024096385542168676,0.0
Bin_1159,0.18571428571428572,0.1,0.01818181818181818,0.1324200913242009,0.02702702702702703,0.043010752688172046,0.3888888888888889,0.0,0.1732283464566929,0.02702702702702703,0.6976744186046512,0.0,0.1511627906976744,0.060240963855421686,0.36363636363636365,0.375,0.4,0.02127659574468085,0.0,0.0,0.0,0.0,0.024096385542168676,0.0
Bin_1160,0.11428571428571428,0.0,0.0,0.1461187214611872,0.0,0.0,0.16666666666666666,0.0,0.11811023622047244,0.04504504504504504,0.5406976744186046,0.0,0.06976744186046512,0.012048192771084338,0.0,0.08333333333333333,0.10526315789473684,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1161,0.3,0.1,0.0,0.3561643835616438,0.06756756756756757,0.010752688172043012,0.2777777777777778,0.0,0.22440944881889763,0.04504504504504504,0.7848837209302325,0.0,0.1511627906976744,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1162,0.17142857142857143,0.22,0.01818181818181818,0.2876712328767123,0.12162162162162163,0.010752688172043012,0.5,0.0,0.21653543307086615,0.018018018018018018,0.5058139534883721,0.0,0.12790697674418605,0.024096385542168676,0.2727272727272727,0.4583333333333333,0.28421052631578947,0.02127659574468085,0.0,0.0,0.0,0.0,0.03614457831325301,0.0
Bin_1163,0.04285714285714286,0.0,0.0,0.0182648401826484,0.0,0.021505376344086023,0.3333333333333333,0.0,0.0,0.0,0.7209302325581395,0.0,0.13953488372093023,0.0,0.36363636363636365,0.0,0.09473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1164,0.2857142857142857,0.22,0.01818181818181818,0.410958904109589,0.02702702702702703,0.03225806451612903,0.2222222222222222,0.0,0.16535433070866143,0.05405405405405406,0.5872093023255814,0.0,0.11627906976744186,0.0,0.2727272727272727,0.25,0.11578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1165,0.2,0.04,0.01818181818181818,0.1004566210045662,0.0,0.03225806451612903,0.4444444444444444,0.0,0.06299212598425197,0.04504504504504504,0.8255813953488372,0.0,0.1511627906976744,0.04819277108433735,0.36363636363636365,0.125,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1166,0.05714285714285714,0.14,0.09090909090909091,0.0,0.0,0.053763440860215055,0.4444444444444444,0.0,0.1732283464566929,0.018018018018018018,0.8662790697674418,0.0,0.12790697674418605,0.12048192771084337,0.2727272727272727,0.4583333333333333,0.4421052631578947,0.02127659574468085,0.0,0.0,0.0,0.0,0.012048192771084338,0.0
Bin_1167,0.04285714285714286,0.14,0.07272727272727272,0.5616438356164384,0.12162162162162163,0.03225806451612903,0.5,0.0,0.2795275590551181,0.06306306306306306,0.4186046511627907,0.0,0.06976744186046512,0.13253012048192772,0.18181818181818182,0.4166666666666667,0.4421052631578947,0.0425531914893617,0.0,0.0,0.0,0.0,0.024096385542168676,0.0
Bin_1168,0.3,0.26,0.09090909090909091,0.0228310502283105,0.06756756756756757,0.053763440860215055,0.3888888888888889,0.0,0.24015748031496062,0.009009009009009009,0.7674418604651163,0.0,0.12790697674418605,0.03614457831325301,0.36363636363636365,0.3333333333333333,0.28421052631578947,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1169,0.2571428571428571,0.08,0.01818181818181818,0.1232876712328767,0.02702702702702703,0.043010752688172046,0.0,0.0,0.09055118110236221,0.02702702702702703,0.3430232558139535,0.0,0.10465116279069768,0.0,0.36363636363636365,0.08333333333333333,0.031578947368421054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1170,0.18571428571428572,0.0,0.0,0.0273972602739726,0.0,0.010752688172043012,0.0,0.0,0.0,0.018018018018018018,0.01744186046511628,0.0,0.0,0.0,0.09090909090909091,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1171,0.18571428571428572,0.14,0.01818181818181818,0.1324200913242009,0.06756756756756757,0.021505376344086023,0.0,0.0,0.11811023622047244,0.05405405405405406,0.3023255813953488,0.0,0.05813953488372093,0.0,0.36363636363636365,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1172,0.0,0.0,0.01818181818181818,0.0410958904109589,0.0,0.010752688172043012,0.2777777777777778,0.0,0.07874015748031496,0.009009009009009009,0.06976744186046512,0.0,0.03488372093023256,0.0,0.0,0.16666666666666666,0.08421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1173,0.07142857142857142,0.0,0.01818181818181818,0.0136986301369863,0.0,0.021505376344086023,0.0,0.0,0.09448818897637795,0.009009009009009009,0.0,0.0,0.0,0.0,0.2727272727272727,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1174,0.21428571428571427,0.04,0.05454545454545454,0.2054794520547945,0.0,0.021505376344086023,0.2222222222222222,0.0,0.0984251968503937,0.08108108108108109,0.5465116279069767,0.0,0.13953488372093023,0.0,0.2727272727272727,0.0,0.021052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
